RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200411171730,5.63,11.60,-42.80,48.10,90.90,999.0,999.0,999.0
200411171740,0.10,12.31,-52.30,47.70,100.00,999.0,999.0,999.0
200411171750,358.67,13.09,-57.90,54.70,112.60,999.0,999.0,999.0
200411171800,358.29,13.64,-54.10,41.30,95.40,999.0,999.0,999.0
200411171810,2.75,12.53,-52.40,48.50,100.90,999.0,999.0,999.0
200411171820,353.97,15.93,-55.80,44.10,99.90,999.0,999.0,999.0
200411171830,6.14,16.75,-51.10,50.20,101.30,999.0,999.0,999.0
200411171840,5.47,13.19,-50.50,51.50,102.00,999.0,999.0,999.0
200411171850,356.47,14.04,-53.40,50.70,104.10,999.0,999.0,999.0
200411171900,356.43,15.54,-73.20,50.60,123.80,999.0,999.0,999.0
200411171910,0.30,14.57,-59.90,54.60,114.50,999.0,999.0,999.0
200411171920,354.42,15.02,-60.90,53.80,114.70,999.0,999.0,999.0
200411171930,6.06,13.30,-50.10,51.20,101.30,999.0,999.0,999.0
200411171940,5.33,12.29,-58.30,60.70,119.00,999.0,999.0,999.0
200411171950,10.30,10.66,-40.20,65.00,105.20,999.0,999.0,999.0
200411172000,359.62,12.22,-58.50,42.40,100.90,999.0,999.0,999.0
200411172010,354.98,12.71,-58.60,46.40,105.00,999.0,999.0,999.0
200411172020,357.27,12.52,-52.50,46.70,99.20,999.0,999.0,999.0
200411172030,0.41,11.26,-57.00,43.20,100.20,999.0,999.0,999.0
200411172040,1.17,11.99,-48.30,41.70,90.00,999.0,999.0,999.0
200411172050,0.88,11.64,-48.30,46.80,95.10,999.0,999.0,999.0
200411172100,2.15,10.60,-49.80,49.20,99.00,999.0,999.0,999.0
200411172110,5.68,10.43,-46.80,48.50,95.30,999.0,999.0,999.0
200411172120,6.18,11.47,-44.60,53.70,98.30,999.0,999.0,999.0
200411172130,1.55,11.87,-63.80,66.00,129.80,999.0,999.0,999.0
200411172140,3.63,11.09,-44.40,52.60,97.00,999.0,999.0,999.0
200411172150,3.92,11.83,-50.10,49.80,99.90,999.0,999.0,999.0
200411172200,4.65,12.25,-42.80,55.50,98.30,999.0,999.0,999.0
200411172210,6.05,13.61,-49.20,73.00,122.20,999.0,999.0,999.0
200411172220,358.77,13.07,-55.00,63.50,118.50,999.0,999.0,999.0
200411172230,1.38,13.28,-55.50,52.50,108.00,999.0,999.0,999.0
200411172240,3.36,12.32,-52.50,54.20,106.70,999.0,999.0,999.0
200411172250,358.42,13.97,-61.60,46.00,107.60,999.0,999.0,999.0
200411172300,4.63,11.05,-52.20,62.20,114.40,999.0,999.0,999.0
200411172310,4.52,11.21,-41.50,53.80,95.30,999.0,999.0,999.0
200411172320,1.47,10.42,-45.60,43.60,89.20,999.0,999.0,999.0
200411172330,0.96,11.37,-50.20,50.20,100.40,999.0,999.0,999.0
200411172340,7.89,9.73,-45.00,50.30,95.30,999.0,999.0,999.0
200411172350,4.44,11.00,-44.90,53.40,98.30,999.0,999.0,999.0
200411180000,5.36,10.67,-47.00,52.30,99.30,999.0,999.0,999.0
200411180010,2.81,11.59,-55.50,60.50,116.00,999.0,999.0,999.0
200411180020,6.89,12.00,-47.30,57.30,104.60,999.0,999.0,999.0
200411180030,5.13,11.59,-40.90,56.10,97.00,999.0,999.0,999.0
200411180040,5.91,11.61,-48.90,54.70,103.60,999.0,999.0,999.0
200411180050,4.61,11.47,-42.10,54.60,96.70,999.0,999.0,999.0
200411180100,2.91,10.49,-56.20,54.80,111.00,999.0,999.0,999.0
200411180110,7.34,10.92,-34.60,52.00,86.60,999.0,999.0,999.0
200411180120,2.75,10.77,-42.30,51.30,93.60,999.0,999.0,999.0
200411180130,4.38,10.71,-39.80,58.70,98.50,999.0,999.0,999.0
200411180140,6.88,11.06,-54.70,51.90,106.60,999.0,999.0,999.0
200411180150,3.44,11.30,-45.70,62.90,108.60,999.0,999.0,999.0
200411180200,4.88,12.26,-46.00,67.20,113.20,999.0,999.0,999.0
200411180210,1.17,12.05,-57.30,63.20,120.50,999.0,999.0,999.0
200411180220,6.17,11.94,-46.90,62.70,109.60,999.0,999.0,999.0
200411180230,2.48,12.52,-67.30,52.40,119.70,999.0,999.0,999.0
200411180240,1.81,10.34,-58.50,48.80,107.30,999.0,999.0,999.0
200411180250,5.93,10.60,-42.80,49.20,92.00,999.0,999.0,999.0
200411180300,6.96,11.71,-41.60,59.00,100.60,999.0,999.0,999.0
200411180310,356.31,14.21,-69.20,54.50,123.70,999.0,999.0,999.0
200411180320,2.31,11.78,-48.20,58.30,106.50,999.0,999.0,999.0
200411180330,3.23,11.16,-48.90,71.20,120.10,999.0,999.0,999.0
200411180340,6.08,11.74,-49.70,67.90,117.60,999.0,999.0,999.0
200411180350,5.29,11.29,-48.70,55.80,104.50,999.0,999.0,999.0
200411180400,7.04,11.07,-45.50,61.20,106.70,999.0,999.0,999.0
200411180410,4.52,12.03,-45.00,64.60,109.60,999.0,999.0,999.0
200411180420,2.53,11.36,-47.50,54.50,102.00,999.0,999.0,999.0
200411180430,7.07,11.70,-51.60,66.40,118.00,999.0,999.0,999.0
200411180440,3.73,12.76,-53.40,68.80,122.20,999.0,999.0,999.0
200411180450,4.19,12.41,-45.70,59.40,105.10,999.0,999.0,999.0
200411180500,6.41,12.20,-46.90,65.00,111.90,999.0,999.0,999.0
200411180510,7.73,12.95,-45.70,66.50,112.20,999.0,999.0,999.0
200411180520,0.69,13.24,-68.40,56.80,125.20,999.0,999.0,999.0
200411180530,5.22,11.36,-46.90,59.30,106.20,999.0,999.0,999.0
200411180540,6.48,13.33,-50.20,67.40,117.60,999.0,999.0,999.0
200411180550,1.18,14.31,-54.40,61.40,115.80,999.0,999.0,999.0
200411180600,1.30,12.58,-49.50,61.90,111.40,999.0,999.0,999.0
200411180610,4.12,12.64,-54.10,58.00,112.10,999.0,999.0,999.0
200411180620,359.07,14.76,-82.90,62.30,145.20,999.0,999.0,999.0
200411180630,356.27,12.25,-64.70,44.50,109.20,999.0,999.0,999.0
200411180640,2.35,11.01,-49.80,52.20,102.00,999.0,999.0,999.0
200411180650,3.01,10.93,-47.40,51.70,99.10,999.0,999.0,999.0
200411180700,358.53,10.91,-60.10,44.70,104.80,999.0,999.0,999.0
200411180710,357.34,11.42,-51.50,62.30,113.80,999.0,999.0,999.0
200411180720,2.97,11.13,-54.90,58.10,113.00,999.0,999.0,999.0
200411180730,1.32,11.70,-48.40,59.40,107.80,999.0,999.0,999.0
200411180740,3.51,12.17,-50.00,59.10,109.10,999.0,999.0,999.0
200411180750,1.96,10.70,-52.30,48.10,100.40,999.0,999.0,999.0
200411180800,356.40,11.28,-57.70,42.50,100.20,999.0,999.0,999.0
200411180810,358.53,11.03,-52.40,56.30,108.70,999.0,999.0,999.0
200411180820,1.29,11.41,-55.40,50.20,105.60,999.0,999.0,999.0
200411180830,1.31,10.94,-51.70,57.20,108.90,999.0,999.0,999.0
200411180840,3.18,10.19,-45.80,49.00,94.80,999.0,999.0,999.0
200411180850,0.68,10.36,-51.20,51.10,102.30,999.0,999.0,999.0
200411180900,359.25,10.93,-54.50,35.30,89.80,999.0,999.0,999.0
200411180910,1.24,10.38,-48.60,43.80,92.40,999.0,999.0,999.0
200411180920,4.07,10.47,-55.00,57.20,112.20,999.0,999.0,999.0
200411180930,359.84,10.21,-62.30,39.20,101.50,999.0,999.0,999.0
200411180940,4.44,9.94,-45.20,54.40,99.60,999.0,999.0,999.0
200411180950,4.55,9.42,-36.40,59.50,95.90,999.0,999.0,999.0
200411181000,6.62,9.26,-35.90,60.10,96.00,999.0,999.0,999.0
200411181010,6.98,10.11,-50.70,66.20,116.90,999.0,999.0,999.0
200411181020,4.81,10.47,-53.00,48.30,101.30,999.0,999.0,999.0
200411181030,1.24,10.63,-46.90,51.50,98.40,999.0,999.0,999.0
200411181040,4.96,10.99,-55.90,55.40,111.30,999.0,999.0,999.0
200411181050,3.94,10.96,-48.80,62.00,110.80,999.0,999.0,999.0
200411181100,1.25,10.67,-47.70,51.50,99.20,999.0,999.0,999.0
200411181110,2.54,10.56,-45.90,56.40,102.30,999.0,999.0,999.0
200411181120,5.16,10.85,-52.70,66.10,118.80,999.0,999.0,999.0
200411181130,4.92,10.05,-51.10,47.10,98.20,999.0,999.0,999.0
200411181140,2.31,10.02,-51.50,52.60,104.10,999.0,999.0,999.0
200411181150,4.35,11.01,-52.70,62.60,115.30,999.0,999.0,999.0
200411181200,0.98,10.54,-71.80,46.00,117.80,999.0,999.0,999.0
200411181210,3.37,10.56,-45.10,53.20,98.30,999.0,999.0,999.0
200411181220,4.20,9.93,-44.50,45.80,90.30,999.0,999.0,999.0
200411181230,3.51,10.21,-52.50,54.60,107.10,999.0,999.0,999.0
200411181240,4.03,9.88,-54.60,53.10,107.70,999.0,999.0,999.0
200411181250,2.66,10.59,-45.30,57.70,103.00,999.0,999.0,999.0
200411181300,3.85,10.48,-50.80,50.50,101.30,999.0,999.0,999.0
200411181310,1.73,10.67,-47.10,65.50,112.60,999.0,999.0,999.0
200411181320,4.32,10.33,-52.60,48.20,100.80,999.0,999.0,999.0
200411181330,5.31,10.29,-46.30,59.40,105.70,999.0,999.0,999.0
200411181340,3.97,10.56,-51.60,58.20,109.80,999.0,999.0,999.0
200411181350,1.06,10.60,-45.00,54.90,99.90,999.0,999.0,999.0
200411181400,0.32,10.28,-50.70,53.00,103.70,999.0,999.0,999.0
200411181410,6.47,10.35,-44.00,56.80,100.80,999.0,999.0,999.0
200411181420,6.94,10.68,-43.70,62.00,105.70,999.0,999.0,999.0
200411181430,5.76,10.21,-40.70,57.60,98.30,999.0,999.0,999.0
200411181440,4.42,11.04,-47.10,66.40,113.50,999.0,999.0,999.0
200411181450,5.39,9.62,-38.40,54.50,92.90,999.0,999.0,999.0
200411181500,4.31,9.89,-42.20,54.80,97.00,999.0,999.0,999.0
200411181510,2.92,11.09,-52.20,58.40,110.60,999.0,999.0,999.0
200411181520,6.97,10.74,-43.40,61.10,104.50,999.0,999.0,999.0
200411181530,7.47,9.98,-46.70,55.30,102.00,999.0,999.0,999.0
200411181540,4.96,9.51,-35.60,49.80,85.40,999.0,999.0,999.0
200411181550,5.76,10.29,-54.30,56.80,111.10,999.0,999.0,999.0
200411181600,6.22,9.61,-41.60,60.90,102.50,999.0,999.0,999.0
200411181610,5.05,9.64,-51.50,56.50,108.00,999.0,999.0,999.0
200411181620,3.63,9.93,-41.90,47.30,89.20,999.0,999.0,999.0
200411181630,2.06,9.19,-39.00,59.50,98.50,999.0,999.0,999.0
200411181640,4.13,8.90,-38.00,45.20,83.20,999.0,999.0,999.0
200411181650,7.86,9.51,-34.50,52.20,86.70,999.0,999.0,999.0
200411181700,7.14,8.66,-37.50,48.00,85.50,999.0,999.0,999.0
200411181710,4.32,8.95,-36.70,46.50,83.20,999.0,999.0,999.0
