RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200411170740,4.13,0.23,3.41,5.05,1.64,999.0,5.7,5.7
200411170750,3.65,0.25,3.01,4.28,1.27,999.0,6.9,6.9
200411170800,3.02,0.21,2.07,3.54,1.47,999.0,6.9,6.9
200411170810,2.56,0.19,1.86,3.09,1.23,999.0,7.3,7.3
200411170820,2.51,0.19,1.86,3.03,1.17,999.0,7.7,7.7
200411170830,2.34,0.21,1.70,2.85,1.15,999.0,8.9,8.9
200411170840,2.38,0.15,1.88,2.85,0.96,999.0,6.4,6.4
200411170850,2.04,0.15,1.64,2.41,0.76,999.0,7.2,7.2
200411170900,1.35,0.43,0.62,2.07,1.45,999.0,31.6,31.6
200411170910,0.88,0.30,0.62,1.75,1.13,999.0,33.8,33.8
200411170920,2.15,0.61,0.98,3.39,2.41,999.0,28.3,28.3
200411170930,1.99,0.38,0.98,3.40,2.42,999.0,19.1,19.1
200411170940,2.56,0.40,1.58,3.58,2.00,999.0,15.6,15.6
200411170950,2.63,0.65,1.13,3.49,2.37,999.0,24.9,24.9
